"Data Source","Human Capital Index",

"Last Updated Date","2020-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Curacao","CUW","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Cayman Islands","CYM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Cyprus","CYP","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.686361968517303","","","","","","","0.751","0.754617035388947","","0.755520224571228",
"Czech Republic","CZE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.726969122886658","","","","","","","0.782","0.764516711235046","","0.752257406711578",
"Germany","DEU","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.760740280151367","","","","","","","0.795","0.763772785663605","","0.751162469387054",
"Djibouti","DJI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Dominica","DMA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","0.551737248897552","","0.544749319553375",
"Denmark","DNK","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.748738408088684","","","","","","","0.774","0.770831823348999","","0.755094826221466",
"Dominican Republic","DOM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.492","0.506880283355713","","0.502766907215118",
"Algeria","DZA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.531282901763916","","","","","","","0.523","0.531993925571442","","0.534556448459625",
"Ecuador","ECU","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.525806725025177","","","","","","","0.602","0.596219539642334","","0.594254851341248",
"Egypt, Arab Rep.","EGY","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.478853046894073","","","","","","","0.486","0.492512345314026","","0.494374662637711",
"Eritrea","ERI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Spain","ESP","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.708285570144653","","","","","","","0.743","0.736156404018402","","0.728255033493042",
"Estonia","EST","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.725663781166077","","","","","","","0.747","0.774125277996063","","0.77720320224762",
"Ethiopia","ETH","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.385","0.384100586175919","","0.382784843444824",
"Finland","FIN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.81736147403717","","","","","","","0.814","0.814484000205994","","0.796001017093658",
"Fiji","FJI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","0.508573293685913",
"France","FRA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.756891846656799","","","","","","","0.765","0.755960285663605","","0.762737214565277",
"Faroe Islands","FRO","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","0.466416776180267","","0.505966544151306",
"Gabon","GAB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.453","0.456387877464294","","0.457612454891205",
"United Kingdom","GBR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.765453696250916","","","","","","","0.781","0.776982247829437","","0.782942950725555",
"Georgia","GEO","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.541148841381073","","","","","","","0.614","0.609057724475861","","0.568925797939301",
"Ghana","GHA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.439","0.443490087985992","","0.450056403875351",
"Gibraltar","GIB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Guinea","GIN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.374","0.369082599878311","","0.37094247341156",
"Gambia, The","GMB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.371689707040787","","","","","","","0.397","0.403292864561081","","0.421570628881455",
"Guinea-Bissau","GNB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Greece","GRC","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.714860320091248","","","","","","","0.681","0.694805860519409","","0.690006494522095",
"Grenada","GRD","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","0.541194915771484","","0.565070509910584",
"Greenland","GRL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Guatemala","GTM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.441940814256668","","","","","","","0.46","0.456771224737167","","0.461270093917847",
"Guam","GUM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Guyana","GUY","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.495","0.494343042373657","","0.495226472616196",
"Hong Kong SAR, China","HKG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.780907571315765","","","","","","","0.822","0.821718037128448","","0.812756538391113",
"Honduras","HND","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.49","0.480305939912796","","0.481023132801056",
"Croatia","HRV","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.693299353122711","","","","","","","0.723","0.729365646839142","","0.709693968296051",
"Haiti","HTI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.446","0.444787979125977","","0.446564912796021",
"Hungary","HUN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.689729869365692","","","","","","","0.703","0.705064594745636","","0.683087289333344",
"Indonesia","IDN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.496361434459686","","","","","","","0.535","0.53795725107193","","0.540038466453552",
"Isle of Man","IMN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"India","IND","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.44","0.484795808792114","","0.493510901927948",
"Ireland","IRL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.766302525997162","","","","","","","0.806","0.813675343990326","","0.792599022388458",
"Iran, Islamic Rep.","IRN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.564321935176849","","","","","","","0.591","0.592209100723267","","0.593404471874237",
"Iraq","IRQ","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.398","0.399482280015945","","0.407643288373947",
"Iceland","ISL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.755177617073059","","","","","","","0.74","0.743431091308594","","0.745281875133514",
"Israel","ISR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.718269050121307","","","","","","","0.763","0.763064444065094","","0.733995318412781",
"Italy","ITA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.750265836715698","","","","","","","0.769","0.752880394458771","","0.727819681167603",
"Jamaica","JAM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.544","0.539271950721741","","0.534977912902832",
"Jordan","JOR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.556527078151703","","","","","","","0.562","0.546930193901062","","0.553174376487732",
"Japan","JPN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.816187500953674","","","","","","","0.844","0.840709209442139","","0.804714262485504",
"Kazakhstan","KAZ","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.594029784202576","","","","","","","0.746","0.777060389518738","","0.628506422042847",
"Kenya","KEN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.518","0.542186081409454","","0.546752512454987",
"Kyrgyz Republic","KGZ","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.58","0.593546211719513","","0.596617102622986",
"Cambodia","KHM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.493","0.490684866905212","","0.491589874029159",
"Kiribati","KIR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.479","0.470715492963791","","0.492592930793762",
"St. Kitts and Nevis","KNA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","0.572474420070648","","0.586181640625",
"Korea, Rep.","KOR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.82462739944458","","","","","","","0.845","0.834545075893402","","0.798776268959045",
"Kuwait","KWT","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.571714520454407","","","","","","","0.576","0.564260244369507","","0.562588036060333",
"Lao PDR","LAO","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.452","0.456815421581268","","0.456665337085724",
"Lebanon","LBN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.538","0.524635970592499","","0.515125513076782",
"Liberia","LBR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.319","0.317570239305496","","0.319014221429825",
"Libya","LBY","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"St. Lucia","LCA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","0.588586747646332","","0.602564752101898",
"Liechtenstein","LIE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Sri Lanka","LKA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.584","0.59337055683136","","0.598324298858643",
"Lesotho","LSO","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.340880423784256","","","","","","","0.371","0.398492515087128","","0.400392591953278",
"Lithuania","LTU","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.688390016555786","","","","","","","0.712","0.726695239543915","","0.70604795217514",
"Luxembourg","LUX","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.700203478336334","","","","","","","0.692","0.692368566989899","","0.686146140098572",
"Latvia","LVA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.676458120346069","","","","","","","0.724","0.738353431224823","","0.70658141374588",
"Macao SAR, China","MAC","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.648325145244598","","","","","","","0.759","0.763288140296936","","0.795671582221985",
"St. Martin (French part)","MAF","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Morocco","MAR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.474434584379196","","","","","","","0.5","0.492540985345841","","0.504116356372833",
"Monaco","MCO","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Moldova","MDA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.555781424045563","","","","","","","0.58","0.581760942935944","","0.584153532981873",
"Madagascar","MDG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.388654828071594","","","","","","","0.374","0.38549268245697","","0.391991019248962",
"Maldives","MDV","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Mexico","MEX","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.589118778705597","","","","","","","0.607","0.611657083034515","","0.612949848175049",
"Marshall Islands","MHL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","0.404367625713348","","0.42339813709259",
"North Macedonia","MKD","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.537773966789246","","","","","","","0.534","0.535392045974731","","0.55734920501709",
"Mali","MLI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.317","0.321505188941956","","0.318269580602646",
"Malta","MLT","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.680218040943146","","","","","","","0.701","0.708490550518036","","0.709248304367065",
"Myanmar","MMR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.473","0.471832513809204","","0.477652013301849",
"Montenegro","MNE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.585171520709991","","","","","","","0.615","0.622822225093842","","0.633181810379028",
"Mongolia","MNG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.626","0.617309272289276","","0.614397525787354",
"Northern Mariana Islands","MNP","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Mozambique","MOZ","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.361","0.355467021465302","","0.362116664648056",
"Mauritania","MRT","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.353","0.3705914914608","","0.381546080112457",
"Mauritius","MUS","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.60013884305954","","","","","","","0.626","0.62326991558075","","0.62185925245285",
"Malawi","MWI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.363821446895599","","","","","","","0.407","0.411061704158783","","0.413240641355515",
"Malaysia","MYS","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.584345042705536","","","","","","","0.622","0.632578670978546","","0.610976159572601",
"Namibia","NAM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.393709778785706","","","","","","","0.435","0.445078074932098","","0.446437537670136",
"New Caledonia","NCL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Niger","NER","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.316","0.318029463291168","","0.31568518280983",
"Nigeria","NGA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.342","0.354753166437149","","0.360609829425812",
"Nicaragua","NIC","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.531","0.507381021976471","","0.508098244667053",
"Netherlands","NLD","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.797099113464355","","","","","","","0.8","0.803038597106934","","0.789915025234222",
"Norway","NOR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.770567059516907","","","","","","","0.771","0.76853483915329","","0.771051168441772",
"Nepal","NPL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.49","0.498192399740219","","0.504601776599884",
"Nauru","NRU","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","0.50841212272644",
"New Zealand","NZL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.778691291809082","","","","","","","0.767","0.771214008331299","","0.775932431221008",
"Oman","OMN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.547552466392517","","","","","","","0.622","0.611187338829041","","0.608116269111633",
"Pakistan","PAK","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.389","0.399303585290909","","0.406070023775101",
"Panama","PAN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.513181924819946","","","","","","","0.532","0.513944387435913","","0.501601994037628",
"Peru","PER","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.545357227325439","","","","","","","0.586","0.594615280628204","","0.6051926612854",
"Philippines","PHL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.548","0.549015581607819","","0.51596212387085",
"Palau","PLW","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","0.567310631275177","","0.588113486766815",
"Papua New Guinea","PNG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.384","0.424772053956985","","0.429185003042221",
"Poland","POL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.701440930366516","","","","","","","0.747","0.760222196578979","","0.753088593482971",
"Puerto Rico","PRI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Portugal","PRT","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.742638409137726","","","","","","","0.776","0.783440172672272","","0.768949568271637",
"Paraguay","PRY","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.510600686073303","","","","","","","0.533","0.527505993843079","","0.528180062770844",
"West Bank and Gaza","PSE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.554","0.571729004383087","","0.579996645450592",
"French Polynesia","PYF","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Qatar","QAT","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.590807378292084","","","","","","","0.615","0.634825527667999","","0.637771606445313",
"Romania","ROU","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.599882483482361","","","","","","","0.601","0.594410121440887","","0.584187865257263",
"Russian Federation","RUS","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.600548565387726","","","","","","","0.729","0.728950440883636","","0.681419610977173",
"Rwanda","RWA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.374","0.376912027597427","","0.379552751779556",
"Saudi Arabia","SAU","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.548455655574799","","","","","","","0.585","0.580753028392792","","0.576390504837036",
"Sudan","SDN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.379","0.376040458679199","","0.377445191144943",
"Senegal","SEN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.389766901731491","","","","","","","0.418","0.421063333749771","","0.420110791921616",
"Singapore","SGP","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.847185730934143","","","","","","","0.884","0.887083649635315","","0.879125714302063",
"Solomon Islands","SLB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.443","0.430859714746475","","0.419872611761093",
"Sierra Leone","SLE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.351","0.35328620672226","","0.36270210146904",
"El Salvador","SLV","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.501","0.544985711574554","","0.546176612377167",
"San Marino","SMR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Somalia","SOM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Serbia","SRB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.651123821735382","","","","","","","0.755","0.759485483169556","","0.676606357097626",
"South Sudan","SSD","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.302","0.305912971496582","","0.306520849466324",
"Sao Tome and Principe","STP","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Suriname","SUR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Slovak Republic","SVK","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.678357720375061","","","","","","","0.694","0.680050134658813","","0.664987325668335",
"Slovenia","SVN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.752130031585693","","","","","","","0.788","0.7886883020401","","0.774986982345581",
"Sweden","SWE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.762113332748413","","","","","","","0.8","0.802509963512421","","0.79535710811615",
"Eswatini","SWZ","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.310769081115723","","","","","","","0.409","0.369540899991989","","0.37250080704689",
"Sint Maarten (Dutch part)","SXM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Seychelles","SYC","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.57453590631485","","","","","","","0.678","0.630557179450989","","0.632779061794281",
"Syrian Arab Republic","SYR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Chad","TCD","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.286074638366699","","","","","","","0.293","0.299028992652893","","0.299782782793045",
"Togo","TGO","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.367949604988098","","","","","","","0.413","0.420792758464813","","0.431868046522141",
